QP,Rate(bits),PSNRY
0,82.92438690128995,191958600
1,80.17050082360564,185608688
2,75.3558453548187,179600720
3,69.30232018649198,173980440
4,63.65286406934704,166021048
5,60.110853483837104,157029792
6,58.12496540324882,148918096
7,56.3105179497347,138958368
8,54.83807271201069,128989144
9,53.7470689927413,120413624
10,52.68953374548603,111666736
11,51.737962627759174,103681096
12,50.85176474542036,96593464
13,49.88869018532057,89232856
14,48.92759625263883,82291600
15,48.004355774090406,75903824
16,47.07971402180836,69723240
17,46.16269820829076,63843776
18,45.318673946072074,58620784
19,44.442991097373444,53442952
20,43.56730416316022,48480832
21,42.75882298352175,44084064
22,41.95515233406016,39983240
23,41.16461463098378,36177568
24,40.42693278313324,32821320
25,39.66496438568023,29560864
26,38.89783217772978,26412216
27,38.17703904953435,23797144
28,37.47365631553271,21341848
29,36.764413356785234,19069800
30,36.10102255427268,17277768
31,35.43083557231063,15393576
32,34.75857102546414,13671960
33,34.12324903966202,12178936
34,33.48511037868868,10814160
35,32.857010582994285,9695568
36,32.27017967829614,8638056
37,31.660710832248625,7724264
38,31.057782498406983,6832392
39,30.481907290760184,6163248
40,29.901715211209762,5472736
41,29.342966265832402,4950096
42,28.833818187665614,4525752
43,28.300680195119913,4143264
44,27.766045749156117,3732544
45,27.248993561224907,3384696
46,26.69805450929452,3061760
47,26.172365557980452,2786392
48,25.688760087693318,2556288
49,25.204416178710503,2357504
50,24.668275155406246,2149664
